"no","name","code","type","address","lng","lat","sigudong"
7538,"(주)교학사",21,"대기오염","서울특별시 금천구 가산동 319-7번지 ",126.886954558125,37.4699468196955,"서울특별시 금천구 가산동"
7539,"양정인쇄(주)",21,"대기오염","서울특별시 금천구 가산동 345-21번지 ",126.884854908696,37.4747141980622,"서울특별시 금천구 가산동"
7540,"한솔프린팅(주)",21,"대기오염","서울특별시 금천구 가산동 319-8번지 ",126.885945388079,37.4722689242186,"서울특별시 금천구 가산동"
7541,"(주)신영프레시젼",21,"대기오염","서울특별시 금천구 독산동 999-5번지 ",126.890384889522,37.4691706776503,"서울특별시 금천구 독산동"
7542,"(주)신영프레시젼",22,"수질오염","서울특별시 금천구 독산동 999-4번지 ",126.8902348984,37.4693136188689,"서울특별시 금천구 독산동"
7543,"대원인쇄",22,"수질오염","서울특별시 금천구 독산동 1000-6번지 ",126.889280410099,37.4688968219816,"서울특별시 금천구 독산동"
7544,"(주)신영프레시젼",22,"수질오염","서울특별시 금천구 독산동 333-14번지 ",126.891080181543,37.4692734951607,"서울특별시 금천구 독산동"
7545,"명진정공(주)",22,"수질오염","서울특별시 금천구 독산동 999-18번지 ",126.890504772633,37.4687437999496,"서울특별시 금천구 독산동"
7546,"대한미술",22,"수질오염","서울특별시 금천구 독산동 335-9번지 ",126.890027268002,37.4706819703277,"서울특별시 금천구 독산동"
7547,"미성인쇄(주)",22,"수질오염","서울특별시 금천구 독산동 336-6번지 ",126.888769357055,37.4709479424355,"서울특별시 금천구 독산동"
7548,"대우인쇄교역",22,"수질오염","서울특별시 금천구 독산동 301-14번지 ",126.893067537014,37.4716156843733,"서울특별시 금천구 독산동"
7549,"(주)조광프린팅",22,"수질오염","서울특별시 금천구 가산동 535-47번지 ",126.87533082013,37.4835349596163,"서울특별시 금천구 가산동"
7550,"(주)교학사",22,"수질오염","서울특별시 금천구 가산동 319-7번지 ",126.886954558125,37.4699468196955,"서울특별시 금천구 가산동"
7551,"양정인쇄(주)",22,"수질오염","서울특별시 금천구 가산동 345-21번지 ",126.884854908696,37.4747141980622,"서울특별시 금천구 가산동"
