"code","crime","arrest","count","year","gu"
11140,"강간","발생",207,2018,"서울특별시 중구"
11410,"강간","발생",338,2018,"서울특별시 서대문구"
11170,"강간","발생",463,2018,"서울특별시 용산구"
11290,"강간","발생",257,2018,"서울특별시 성북구"
11230,"강간","발생",277,2018,"서울특별시 동대문구"
11440,"강간","발생",605,2018,"서울특별시 마포구"
11560,"강간","발생",523,2018,"서울특별시 영등포구"
11200,"강간","발생",258,2018,"서울특별시 성동구"
11590,"강간","발생",420,2018,"서울특별시 동작구"
11215,"강간","발생",361,2018,"서울특별시 광진구"
11380,"강간","발생",190,2018,"서울특별시 은평구"
11305,"강간","발생",320,2018,"서울특별시 강북구"
11545,"강간","발생",332,2018,"서울특별시 금천구"
11260,"강간","발생",306,2018,"서울특별시 중랑구"
11680,"강간","발생",538,2018,"서울특별시 강남구"
11620,"강간","발생",484,2018,"서울특별시 관악구"
11500,"강간","발생",401,2018,"서울특별시 강서구"
11530,"강간","발생",382,2018,"서울특별시 구로구"
11650,"강간","발생",539,2018,"서울특별시 서초구"
11470,"강간","발생",252,2018,"서울특별시 양천구"
11710,"강간","발생",441,2018,"서울특별시 송파구"
11350,"강간","발생",326,2018,"서울특별시 노원구"
11320,"강간","발생",245,2018,"서울특별시 도봉구"
11110,"강간","발생",304,2017,"서울특별시 종로구"
11140,"강간","발생",267,2017,"서울특별시 중구"
11410,"강간","발생",375,2017,"서울특별시 서대문구"
11170,"강간","발생",500,2017,"서울특별시 용산구"
11290,"강간","발생",280,2017,"서울특별시 성북구"
11230,"강간","발생",338,2017,"서울특별시 동대문구"
11440,"강간","발생",673,2017,"서울특별시 마포구"
11560,"강간","발생",628,2017,"서울특별시 영등포구"
11200,"강간","발생",305,2017,"서울특별시 성동구"
11590,"강간","발생",569,2017,"서울특별시 동작구"
11215,"강간","발생",434,2017,"서울특별시 광진구"
11380,"강간","발생",266,2017,"서울특별시 은평구"
11305,"강간","발생",381,2017,"서울특별시 강북구"
11545,"강간","발생",413,2017,"서울특별시 금천구"
11260,"강간","발생",345,2017,"서울특별시 중랑구"
11680,"강간","발생",629,2017,"서울특별시 강남구"
11620,"강간","발생",552,2017,"서울특별시 관악구"
11500,"강간","발생",489,2017,"서울특별시 강서구"
11530,"강간","발생",501,2017,"서울특별시 구로구"
11650,"강간","발생",578,2017,"서울특별시 서초구"
11470,"강간","발생",311,2017,"서울특별시 양천구"
11710,"강간","발생",461,2017,"서울특별시 송파구"
11350,"강간","발생",353,2017,"서울특별시 노원구"
11320,"강간","발생",277,2017,"서울특별시 도봉구"
11110,"살인","발생",6,2018,"서울특별시 종로구"
11410,"살인","발생",6,2018,"서울특별시 서대문구"
11230,"살인","발생",3,2018,"서울특별시 동대문구"
11440,"살인","발생",7,2018,"서울특별시 마포구"
11560,"살인","발생",18,2018,"서울특별시 영등포구"
11200,"살인","발생",3,2018,"서울특별시 성동구"
11590,"살인","발생",4,2018,"서울특별시 동작구"
11215,"살인","발생",8,2018,"서울특별시 광진구"
11380,"살인","발생",5,2018,"서울특별시 은평구"
11305,"살인","발생",9,2018,"서울특별시 강북구"
11545,"살인","발생",7,2018,"서울특별시 금천구"
11260,"살인","발생",5,2018,"서울특별시 중랑구"
11620,"살인","발생",10,2018,"서울특별시 관악구"
11500,"살인","발생",12,2018,"서울특별시 강서구"
11290,"살인","발생",7,2018,"서울특별시 성북구"
11530,"살인","발생",9,2018,"서울특별시 구로구"
11650,"살인","발생",6,2018,"서울특별시 서초구"
11470,"살인","발생",3,2018,"서울특별시 양천구"
11710,"살인","발생",6,2018,"서울특별시 송파구"
11350,"살인","발생",6,2018,"서울특별시 노원구"
11680,"살인","발생",6,2018,"서울특별시 강남구"
11140,"살인","발생",6,2018,"서울특별시 중구"
11170,"살인","발생",6,2018,"서울특별시 용산구"
11320,"살인","발생",6,2018,"서울특별시 도봉구"
11110,"살인","발생",5,2017,"서울특별시 종로구"
11140,"살인","발생",1,2017,"서울특별시 중구"
11410,"살인","발생",4,2017,"서울특별시 서대문구"
11170,"살인","발생",1,2017,"서울특별시 용산구"
11290,"살인","발생",5,2017,"서울특별시 성북구"
11230,"살인","발생",11,2017,"서울특별시 동대문구"
11440,"살인","발생",3,2017,"서울특별시 마포구"
11560,"살인","발생",15,2017,"서울특별시 영등포구"
11200,"살인","발생",1,2017,"서울특별시 성동구"
11590,"살인","발생",1,2017,"서울특별시 동작구"
11215,"살인","발생",6,2017,"서울특별시 광진구"
11380,"살인","발생",3,2017,"서울특별시 은평구"
11305,"살인","발생",8,2017,"서울특별시 강북구"
11545,"살인","발생",5,2017,"서울특별시 금천구"
11260,"살인","발생",5,2017,"서울특별시 중랑구"
11680,"살인","발생",6,2017,"서울특별시 강남구"
11620,"살인","발생",8,2017,"서울특별시 관악구"
11500,"살인","발생",11,2017,"서울특별시 강서구"
11530,"살인","발생",7,2017,"서울특별시 구로구"
11650,"살인","발생",8,2017,"서울특별시 서초구"
11470,"살인","발생",3,2017,"서울특별시 양천구"
11710,"살인","발생",6,2017,"서울특별시 송파구"
11350,"살인","발생",4,2017,"서울특별시 노원구"
11320,"살인","발생",1,2017,"서울특별시 도봉구"
11110,"강도","발생",6,2018,"서울특별시 종로구"
11140,"강도","발생",11,2018,"서울특별시 중구"
11410,"강도","발생",8,2018,"서울특별시 서대문구"
11170,"강도","발생",8,2018,"서울특별시 용산구"
11290,"강도","발생",5,2018,"서울특별시 성북구"
11440,"강도","발생",11,2018,"서울특별시 마포구"
11560,"강도","발생",13,2018,"서울특별시 영등포구"
11590,"강도","발생",12,2018,"서울특별시 동작구"
11215,"강도","발생",7,2018,"서울특별시 광진구"
11380,"강도","발생",5,2018,"서울특별시 은평구"
11305,"강도","발생",12,2018,"서울특별시 강북구"
11545,"강도","발생",12,2018,"서울특별시 금천구"
11260,"강도","발생",8,2018,"서울특별시 중랑구"
11680,"강도","발생",14,2018,"서울특별시 강남구"
11620,"강도","발생",15,2018,"서울특별시 관악구"
11500,"강도","발생",11,2018,"서울특별시 강서구"
11530,"강도","발생",14,2018,"서울특별시 구로구"
11650,"강도","발생",9,2018,"서울특별시 서초구"
11470,"강도","발생",9,2018,"서울특별시 양천구"
11710,"강도","발생",11,2018,"서울특별시 송파구"
11230,"강도","발생",6,2018,"서울특별시 동대문구"
11200,"강도","발생",6,2018,"서울특별시 성동구"
11350,"강도","발생",6,2018,"서울특별시 노원구"
11320,"강도","발생",6,2018,"서울특별시 도봉구"
